nrp,course
05211840000095,IS184203
05211840000123,IS184203
05211840000130,IS184203
05211840000145,IS184203
05211840000148,IS184203
05211840007001,IS184203
05211840007002,IS184203
05211840007003,IS184203
05211940000001,IS184203
05211940000005,IS184203
05211940000007,IS184203
05211940000009,IS184203
05211940000012,IS184203
05211940000018,IS184203
05211940000026,IS184203
05211940000027,IS184203
05211940000033,IS184203
05211940000040,IS184203
05211940000041,IS184203
05211940000049,IS184203
05211940000064,IS184203
05211940000069,IS184203
05211940000070,IS184203
05211940000071,IS184203
05211940000073,IS184203
05211940000081,IS184203
05211940000089,IS184203
05211940000091,IS184203
05211940000101,IS184203
05211940000103,IS184203
05211940000105,IS184203
05211940000108,IS184203
05211940000111,IS184203
05211940000119,IS184203
05211940000123,IS184203
05211940000126,IS184203
05211940000127,IS184203
05211940000129,IS184203
05211940000135,IS184203
05211940000136,IS184203
05211940000137,IS184203
05211940000139,IS184203
05211940000144,IS184203
05211940000148,IS184203
05211940000149,IS184203
05211940007001,IS184203
05211940000004,IS184203
05211940000006,IS184203
05211940000011,IS184203
05211940000017,IS184203
05211940000020,IS184203
05211940000021,IS184203
05211940000039,IS184203
05211940000045,IS184203
05211940000047,IS184203
05211940000051,IS184203
05211940000052,IS184203
05211940000053,IS184203
05211940000054,IS184203
05211940000057,IS184203
05211940000058,IS184203
05211940000059,IS184203
05211940000060,IS184203
05211940000061,IS184203
05211940000068,IS184203
05211940000077,IS184203
05211940000085,IS184203
05211940000090,IS184203
05211940000093,IS184203
05211940000094,IS184203
05211940000096,IS184203
05211940000100,IS184203
05211940000102,IS184203
05211940000106,IS184203
05211940000109,IS184203
05211940000110,IS184203
05211940000114,IS184203
05211940000116,IS184203
05211940000120,IS184203
05211940000134,IS184203
05211940000138,IS184203
05211940000141,IS184203
05211940000142,IS184203
05211940000150,IS184203
05211940007002,IS184203
05211940000002,IS184203
05211940000008,IS184203
05211940000010,IS184203
05211940000013,IS184203
05211940000015,IS184203
05211940000024,IS184203
05211940000025,IS184203
05211940000028,IS184203
05211940000029,IS184203
05211940000030,IS184203
05211940000032,IS184203
05211940000035,IS184203
05211940000036,IS184203
05211940000038,IS184203
05211940000042,IS184203
05211940000050,IS184203
05211940000065,IS184203
05211940000067,IS184203
05211940000074,IS184203
05211940000075,IS184203
05211940000082,IS184203
05211940000084,IS184203
05211940000086,IS184203
05211940000087,IS184203
05211940000088,IS184203
05211940000092,IS184203
05211940000097,IS184203
05211940000098,IS184203
05211940000099,IS184203
05211940000107,IS184203
05211940000112,IS184203
05211940000113,IS184203
05211940000118,IS184203
05211940000124,IS184203
05211940000125,IS184203
05211940000140,IS184203
05211940000143,IS184203
05211940000146,IS184203
05211840000066,IS184203
05211840000097,IS184203
05211840007004,IS184203
05211940000003,IS184203
05211940000014,IS184203
05211940000016,IS184203
05211940000019,IS184203
05211940000022,IS184203
05211940000023,IS184203
05211940000031,IS184203
05211940000034,IS184203
05211940000037,IS184203
05211940000044,IS184203
05211940000046,IS184203
05211940000055,IS184203
05211940000056,IS184203
05211940000062,IS184203
05211940000063,IS184203
05211940000066,IS184203
05211940000072,IS184203
05211940000076,IS184203
05211940000078,IS184203
05211940000079,IS184203
05211940000080,IS184203
05211940000095,IS184203
05211940000104,IS184203
05211940000115,IS184203
05211940000121,IS184203
05211940000122,IS184203
05211940000128,IS184203
05211940000130,IS184203
05211940000131,IS184203
05211940000132,IS184203
05211940000133,IS184203
05211940000145,IS184203
05211940000147,IS184203
05211940000151,IS184203
05211940007003,IS184203
05211640000075,IS184620
05211740000001,IS184620
05211740000012,IS184620
05211740000014,IS184620
05211740000018,IS184620
05211740000029,IS184620
05211740000035,IS184620
05211740000038,IS184620
05211740000041,IS184620
05211740000053,IS184620
05211740000064,IS184620
05211740000068,IS184620
05211740000070,IS184620
05211740000077,IS184620
05211740000083,IS184620
05211740000086,IS184620
05211740000095,IS184620
05211740000108,IS184620
05211740000111,IS184620
05211740000114,IS184620
05211740000115,IS184620
05211740000117,IS184620
05211740000118,IS184620
05211740000119,IS184620
05211740000122,IS184620
05211740000134,IS184620
05211740000136,IS184620
05211740000140,IS184620
05211740007001,IS184620
05211740007005,IS184620
05211740007008,IS184620
05211440000189,IS184620
05211640000109,IS184620
05211640000148,IS184620
05211740000003,IS184620
05211740000008,IS184620
05211740000016,IS184620
05211740000036,IS184620
05211740000037,IS184620
05211740000048,IS184620
05211740000052,IS184620
05211740000055,IS184620
05211740000057,IS184620
05211740000080,IS184620
05211740000082,IS184620
05211740000088,IS184620
05211740000091,IS184620
05211740000094,IS184620
05211740000098,IS184620
05211740000110,IS184620
05211740000112,IS184620
05211740000120,IS184620
05211740000126,IS184620
05211740000132,IS184620
05211740000133,IS184620
05211740000005,IS184620
05211740000006,IS184620
05211740000009,IS184620
05211740000010,IS184620
05211740000013,IS184620
05211740000017,IS184620
05211740000019,IS184620
05211740000020,IS184620
05211740000021,IS184620
05211740000025,IS184620
05211740000026,IS184620
05211740000031,IS184620
05211740000039,IS184620
05211740000044,IS184620
05211740000054,IS184620
05211740000056,IS184620
05211740000058,IS184620
05211740000061,IS184620
05211740000062,IS184620
05211740000066,IS184620
05211740000071,IS184620
05211740000073,IS184620
05211740000085,IS184620
05211740000093,IS184620
05211740000101,IS184620
05211740000102,IS184620
05211740000103,IS184620
05211740000107,IS184620
05211740000121,IS184620
05211740000124,IS184620
05211740000128,IS184620
05211740000129,IS184620
05211740000130,IS184620
05211740000131,IS184620
05211740000137,IS184620
05211740000138,IS184620
05211740000139,IS184620
05211740000141,IS184620
05211740000143,IS184620
05211740000145,IS184620
05211740000030,IS184620
05211740000047,IS184620
05211740000059,IS184620
05211740000060,IS184620
05211740000063,IS184620
05211740000065,IS184620
05211740000072,IS184620
05211740000079,IS184620
05211740000087,IS184620
05211740000089,IS184620
05211740000109,IS184620
05211740000127,IS184620
05211740000142,IS184620
05211740007003,IS184620
05211640000002,IS184948
05211640000012,IS184948
05211640000014,IS184948
05211640000018,IS184948
05211640000022,IS184948
05211640000023,IS184948
05211640000033,IS184948
05211640000035,IS184948
05211640000036,IS184948
05211640000043,IS184948
05211640000044,IS184948
05211640000055,IS184948
05211640000064,IS184948
05211640000067,IS184948
05211640000068,IS184948
05211640000071,IS184948
05211640000072,IS184948
05211640000074,IS184948
05211640000081,IS184948
05211640000088,IS184948
05211640000093,IS184948
05211640000095,IS184948
05211640000097,IS184948
05211640000111,IS184948
05211640000114,IS184948
05211640000115,IS184948
05211640000116,IS184948
05211640000117,IS184948
05211640000118,IS184948
05211640000120,IS184948
05211640000123,IS184948
05211640000129,IS184948
05211640000130,IS184948
05211640000131,IS184948
05211640000133,IS184948
05211640000140,IS184948
05211640000150,IS184948
05211640000153,IS184948
05211640000156,IS184948
05211640000157,IS184948
05211840000001,IS184411
05211840000006,IS184411
05211840000009,IS184411
05211840000012,IS184411
05211840000020,IS184411
05211840000024,IS184411
05211840000030,IS184411
05211840000032,IS184411
05211840000037,IS184411
05211840000038,IS184411
05211840000049,IS184411
05211840000051,IS184411
05211840000053,IS184411
05211840000054,IS184411
05211840000055,IS184411
05211840000063,IS184411
05211840000065,IS184411
05211840000068,IS184411
05211840000069,IS184411
05211840000073,IS184411
05211840000076,IS184411
